latitude,longitude,name,desc,color
45.575472,-122.640816,"2420 NE Columbia Blvd, Portland, OR 97211","2420 Northeast Columbia Boulevard, Portland, Multnomah County, OR, US",
39.78373,-100.445882,"8728 SE Lafayette #3, Portland, OR 97266",US,
45.516416,-122.985198,"570 SE 3rd Avenue, Hillsboro, OR 97123","570 Southeast 3rd Avenue, Hillsboro, Washington County, OR, US",
39.78373,-100.445882,"1905 Fir Rd, Apt #3, Forest Grove, OR 97116",US,
39.78373,-100.445882,"4606 NE MLK Blvd, Portland, OR 97211",US,
45.538793,-122.662314,"310 NE Thompson St, Portland, OR 97212","310 Northeast Thompson Street, Portland, Multnomah County, OR, US",
39.78373,-100.445882,"12123 Mallorca Ave., North Port, FL 34287-1125",US,
45.652221,-122.581605,"10411 NE Fourth Plain Blvd, Vancouver, WA 98662","Northeast Fourth Plain Boulevard, Vancouver, Clark County, WA, US",
39.78373,-100.445882,"c/o The Roseland Theatre, 8 NW 6th Ave., Portland, OR 97209",US,
39.78373,-100.445882,"7613 NE St. Johns Rd,, Suite G, Vancouver, WA 98665",US,
45.528433,-122.915136,"764 NE 64th Place, Hillsboro, OR 97124","764 Northeast 64th Place, Hillsboro, Washington County, OR, US",
45.48022,-122.569653,"9119 SE Foster Rd., Portland, OR 97266","9119 Southeast Foster Road, Portland, Multnomah County, OR, US",
45.519415,-122.586055,"425 SE 75th Ave, Portland, OR 97215","425 Southeast 75th Avenue, Portland, Multnomah County, OR, US",
45.472302,-122.596472,"6929 SE 65th Ave, Portland, OR 97206","6929 Southeast 65th Avenue, Portland, Multnomah County, OR, US",
45.522128,-122.590621,"118 SE 70th Ave, Portland, OR 97215","118 Southeast 70th Avenue, Portland, Multnomah County, OR, US",
39.78373,-100.445882,"2325 NW 154th Place, Beaverton, OR 97006",US,
34.281357,-119.282513,"39 N. Hemlock St., Ventura, CA 93001","39 North Hemlock Street, Ventura, Ventura County, CA, US",
39.78373,-100.445882,"4110 SE Hawthorne Blvd. #339, Portland, OR 97214",US,
39.78373,-100.445882,"7106 NE 6th Avenue Apt. 4, Portland, OR 97211",US,
45.551926,-122.663917,"3975 NE Mallory Ave, Portland, OR 97212","3975 Northeast Mallory Avenue, Portland, Multnomah County, OR, US",
39.78373,-100.445882,"4219 Ashworth Ave. N., Seattle, WA 98103-7513",US,
39.78373,-100.445882,"32880 S Sawtell Rd, Molalla, OR 97038",US,
37.738418,-122.405788,"250 Industrial St, San Francisco, CA 94124","250 Industrial Street, San Francisco, San Francisco City and County, CA, US",
39.78373,-100.445882,"10 NW 3rd Street, Gresham, OR 97080",US,
39.78373,-100.445882,"10121 Overlook Drive NW, Olympia, WA 98502",US,
45.489566,-122.597205,"6350 SE Foster Rd., Portland, OR 97206","6350 Southeast Foster Road, Portland, Multnomah County, OR, US",
